user_id,hotel_name,rating,price,trip_type,companion,star,district,destination
,Hotel 81 Sakura,3,0.056102314,business,friend,2,Katong, Singapore
,Hotel 81 Selegie,3,0.032128646,leisure,couple,2,Selegie, Singapore
,Hotel 81 Selegie,3,0.032128646,business,solo,2,Selegie, Singapore
,Hotel 81 Selegie,3,0.032128646,business,couple,2,Selegie, Singapore
,Hotel 81 Tristar,3,0.042559811,leisure,family,2,Singapore,0
,Hotel 81 Tristar,3,0.069988701,business,friend,2,Singapore,0
,Hotel 81 Tristar,3,0.032128646,leisure,couple,2,Singapore,0
,Hotel 81 Tristar,3,0.069988701,leisure,friend,2,Singapore,0
,Hotel 81 Tristar,3,0.032128646,business,couple,2,Singapore,0
,Hotel 81 Tristar,3,0.042559811,business,family,2,Singapore,0
,Hotel Bencoolen Singapore,3,0.088296461,leisure,family,3,Bencoolen, Singapore
,Hotel Bencoolen Singapore,3,0.030098089,business,couple,3,Bencoolen, Singapore
,Hotel Bencoolen Singapore,3,0.030098089,leisure,solo,3,Bencoolen, Singapore
,Hotel Bencoolen Singapore,3,0.088296461,business,family,3,Bencoolen, Singapore
,Hotel Bencoolen Singapore,3,0.030098089,leisure,couple,3,Bencoolen, Singapore
,Hotel Chancellor@Orchard,3,0.097843352,leisure,family,3,Orchard, Singapore
,Hotel Chancellor@Orchard,3,0.051500811,business,couple,3,Orchard, Singapore
,Hotel Chancellor@Orchard,3,0.051500811,leisure,solo,3,Orchard, Singapore
,Hotel Chancellor@Orchard,3,0.051500811,leisure,couple,3,Orchard, Singapore
,Hotel Chancellor@Orchard,3,0.097843352,business,family,3,Orchard, Singapore
,Hotel Clover 33 Jalan Sultan,4,0.044311985,leisure,couple,4,Kampong Glam, Singapore
,Hotel Clover 33 Jalan Sultan,4,0.149622546,leisure,friend,4,Kampong Glam, Singapore
,Hotel Clover 33 Jalan Sultan,4,0.149622546,business,friend,4,Kampong Glam, Singapore
,Hotel Clover 33 Jalan Sultan,4,0.071953756,business,family,4,Kampong Glam, Singapore
,Hotel Clover 33 Jalan Sultan,4,0.044311985,business,couple,4,Kampong Glam, Singapore
,Hotel Clover 5 HongKong Street,4,0.042920071,business,solo,4,Boat Quay, Singapore
,Hotel Clover 5 HongKong Street,4,0.042920071,leisure,solo,4,Boat Quay, Singapore
,Hotel Clover 7,4,0.044639494,business,couple,3,Boat Quay, Singapore
,Hotel Clover 7,4,0.044639494,leisure,couple,3,Boat Quay, Singapore
,Hotel Conforto,3,0.035158105,leisure,couple,2,Boat Quay, Singapore
,Hotel Conforto,3,0.035158105,business,couple,2,Boat Quay, Singapore
,Hotel Fort Canning,5,0.211767403,business,friend,5,Singapore,0
,Hotel Fort Canning,5,0.211767403,leisure,friend,5,Singapore,0
,Hotel Fort Canning,5,0.211767403,business,family,5,Singapore,0
,Hotel Fort Canning,5,0.211767403,leisure,family,5,Singapore,0
,Hotel Indigo Singapore Katong,5,0.135719783,leisure,friend,4,Katong, Singapore
,Hotel Indigo Singapore Katong,5,0.135719783,business,friend,4,Katong, Singapore
,Hotel Jen Orchardgateway Singapore by Shangri-La,5,0.181931321,business,friend,4,Orchard, Singapore
,Hotel Jen Orchardgateway Singapore by Shangri-La,5,0.181931321,leisure,friend,4,Orchard, Singapore
,Hotel Jen Orchardgateway Singapore by Shangri-La,5,0.165981627,business,family,4,Orchard, Singapore
,Hotel Jen Tanglin Singapore by Shangri-la,4.5,0.13327984,leisure,family,4,Orchard, Singapore
,Hotel Jen Tanglin Singapore by Shangri-la,4.5,0.13327984,business,family,4,Orchard, Singapore
,Hotel Kai,4,0.03964498,business,solo,3,Singapore,0
,Hotel Kai,4,0.182340708,leisure,friend,3,Singapore,0
,Hotel Kai,4,0.182340708,business,friend,3,Singapore,0
,Hotel Kai,4,0.043329458,business,couple,3,Singapore,0
,Hotel Kai,4,0.043329458,leisure,couple,3,Singapore,0
,Hotel NuVe,4,0.025594838,leisure,solo,3,Kampong Glam, Singapore
,Hotel NuVe,4,0.025594838,business,solo,3,Kampong Glam, Singapore
,Hotel NuVe Heritage,4.5,0.078536689,business,family,4,Singapore,0
,Hotel Royal,3,0.116920759,leisure,friend,4,Novena, Singapore
,Hotel Royal,3,0.116920759,business,friend,4,Novena, Singapore
,Hotel Royal,3,0.055594675,business,solo,4,Novena, Singapore
,Hotel Royal @ Queens,3.5,0.106702474,leisure,family,4,Singapore,0
,Hotel Royal @ Queens,3.5,0.067254,business,solo,4,Singapore,0
,Hotel Royal @ Queens,3.5,0.067254,leisure,couple,4,Singapore,0
,Hotel Royal @ Queens,3.5,0.067254,leisure,solo,4,Singapore,0
,Hotel Royal @ Queens,3.5,0.067254,business,couple,4,Singapore,0
,Hotel Royal @ Queens,3.5,0.147166227,business,friend,4,Singapore,0
,Hotel Royal @ Queens,3.5,0.106702474,business,family,4,Singapore,0
,Hotel Yan,4,0.040463753,business,couple,3,Lavender, Singapore
,Hotel Yan,4,0.040463753,leisure,couple,3,Lavender, Singapore
,Hotel Yan,4,0.035600242,leisure,solo,3,Lavender, Singapore
,Hotel Yan,4,0.06026168,business,family,3,Lavender, Singapore
,Hotel Yan,4,0.035600242,business,solo,3,Lavender, Singapore
,Ibis Singapore Novena,3,0.039235594,business,solo,3,Novena, Singapore
,Ibis Singapore Novena,3,0.039235594,leisure,solo,3,Novena, Singapore
,Ibis Singapore on Bencoolen,4,0.088460216,leisure,friend,3,Singapore,0
,Ibis Singapore on Bencoolen,4,0.041364403,business,solo,3,Singapore,0
,Ibis Singapore on Bencoolen,4,0.041364403,leisure,couple,3,Singapore,0
,Ibis Singapore on Bencoolen,4,0.088460216,business,friend,3,Singapore,0
,Ibis Singapore on Bencoolen,4,0.041364403,leisure,solo,3,Singapore,0
,Ibis Styles Singapore On Macpherson,3.5,0.051500811,business,family,3,Singapore,0
,J8 Hotel,3,0.088050829,business,friend,3,Lavender, Singapore
,J8 Hotel,3,0.037679925,business,solo,3,Lavender, Singapore
,J8 Hotel,3,0.041167898,leisure,family,3,Lavender, Singapore
,J8 Hotel,3,0.088050829,leisure,friend,3,Lavender, Singapore
,J8 Hotel,3,0.037679925,leisure,solo,3,Lavender, Singapore
,J8 Hotel,3,0.041167898,business,couple,3,Lavender, Singapore
,Jayleen 1918,3,0.044639494,business,solo,3,Boat Quay, Singapore
,Jayleen 1918,3,0.044639494,leisure,solo,3,Boat Quay, Singapore
