user_id,hotel_name,rating_norm,price_norm,trip_type,companion
,BB Garden Resort,2.6,0.03158894,business,family
,BEST WESTERN PLUS Wanda Grand Hotel,2.6,0.119591788,leisure,family
,Baan Chantra,2.6,0.050575531,leisure,family
,Baan Glang Soi,4.2,0.033962264,leisure,family
,Baan Glang Soi,4.2,0.033962264,business,family
,Baan Glang Soi,4.2,0.029215616,business,solo
,Baan Hostel,4.2,0.019484989,business,friend
,Baan Hostel,4.2,0.019484989,leisure,friend
,Baan K Managed By Bliston,4.2,0.109695028,business,friend
,Baan K Managed By Bliston,4.2,0.052830189,business,couple
,Baan K Managed By Bliston,4.2,0.109695028,leisure,friend
,Baan K Managed By Bliston,4.2,0.052830189,business,solo
,Baan Manusarn,4.2,0.029215616,leisure,family
,Baan Nai Trok,2.6,0.002634389,leisure,solo
,Baan Nai Trok,2.6,0.02257031,leisure,friend
,Baan Nampetch Hostel,4.2,0.013314347,business,solo
,Baan Nampetch Hostel,4.2,0.013314347,business,couple
,Baan Nampetch Hostel,4.2,0.013314347,leisure,solo
,Baan Noppawong,4.2,0.038708912,business,solo
,Baan Noppawong,4.2,0.055322179,leisure,couple
,Baan Noppawong,4.2,0.114655275,leisure,friend
,Baan Noppawong,4.2,0.055322179,leisure,family
,Baan Pra Nond Bed & Breakfast,4.2,0.094007357,leisure,friend
,Baan Pra Nond Bed & Breakfast,4.2,0.040844903,business,couple
,Baan Pra Nond Bed & Breakfast,4.2,0.040844903,leisure,couple
,Baan Tanwa - MRT Ratchadapisek,4.2,0.054847514,business,friend
,Baan Tanwa - MRT Ratchadapisek,4.2,0.054847514,leisure,friend
,Baan Tanwa - MRT Ratchadapisek,4.2,0.026367628,business,couple
,Baan Tanwa - MRT Ratchadapisek,4.2,0.026367628,leisure,couple
,Baan Tipa House Wanglang,2.6,0.04345556,business,family
,Baan Tipa House Wanglang,2.6,0.04345556,leisure,family
,"Baan Wanglang Riverside, Bangkok",2.6,0.076682093,leisure,family
,Baansilom Soi 3,2.6,0.064578142,business,friend
,Baansilom Soi 3,2.6,0.064578142,leisure,friend
,Back Home Backpackers,4.2,0.026367628,leisure,friend
,Ban Kru Ae Homestay,4.2,0.024468969,business,couple
,Ban Kru Ae Homestay,4.2,0.024468969,leisure,couple
,"Bandara Suites Silom, Bangkok",2.6,0.097448677,business,family
,Bangkok Bed and Bike,4.2,0.038708912,leisure,friend
,Bangkok Bed and Bike,4.2,0.038708912,business,friend
,Bangkok Bed and Bike,4.2,0.00666904,business,solo
,Bangkok Bed and Bike,4.2,0.028028955,leisure,couple
,Bangkok Bed and Bike,4.2,0.028028955,business,couple
,Bangkok Feliz Sukumvit69,2.6,0.061255488,leisure,solo
,Bangkok Hub,2.6,0.042743562,leisure,friend
,Bangkok Living,2.6,0.064815474,leisure,family
,Bangkok Loft Inn,4.2,0.052948855,leisure,friend
,Bangkok Loft Inn,4.2,0.052948855,leisure,family
,Bangkok Loft Inn,4.2,0.052948855,business,friend
,Bangkok Loft Inn,4.2,0.052948855,business,family
,Bangkok Marriott Hotel Sukhumvit,4.2,0.131458407,leisure,solo
,Bangkok Marriott Hotel Sukhumvit,4.2,0.131458407,business,solo
,Bangkok Marriott Hotel Sukhumvit,4.2,0.382864602,leisure,friend
,Bangkok Marriott Hotel Sukhumvit,4.2,0.382864602,business,friend
,Bangkok Marriott Marquis Queen’s Park,1.8,0.10912543,leisure,family
,Bangkok Patio,4.2,0.087362051,business,friend
,Bangkok Patio,4.2,0.087362051,leisure,friend
,Bangkok Patio,4.2,0.045828883,business,solo
,Bangkok Patio,4.2,0.045828883,leisure,solo
,Bangkok Story Hostel,4.2,0.002990388,leisure,solo
,Bangkok Story Hostel,4.2,0.002990388,business,solo
,Bangkok W18 Hostel,4.2,0.01260235,leisure,couple
,Bangkok W18 Hostel,4.2,0.01260235,business,couple
,Banyan Tree Bangkok,4.2,0.131743206,business,solo
,Banyan Tree Bangkok,4.2,0.131743206,leisure,couple
,Banyan Tree Bangkok,4.2,0.146837546,leisure,family
,Banyan Tree Bangkok,4.2,0.131743206,leisure,solo
,Banyan Tree Bangkok,4.2,0.131743206,business,couple
,Bed Station Hostel,4.2,0.081428741,business,friend
,Bed Station Hostel,4.2,0.081428741,leisure,friend
,Bed Station Hostel,4.2,0.005078913,business,solo
,Bed Station Hostel,4.2,0.081428741,business,couple
,Bed Station Hostel,4.2,0.005078913,leisure,solo
,Bed@Town Hostel,3.4,0.048202207,leisure,friend
,Beekataa Hostel Donmueang,4.2,0.052948855,leisure,friend
,Beekataa Hostel Donmueang,4.2,0.022095645,leisure,solo
,Best Western Premier Sukhumvit,2.6,0.143230094,business,family
,Beverly 33 by Aspira,4.2,0.06244215,leisure,family
,Beverly 33 by Aspira,4.2,0.055796843,business,solo
,Bizotel Bangkok,4.2,0.098042008,leisure,friend
,Bizotel Bangkok,4.2,0.047015545,business,couple
,Bizotel Bangkok,4.2,0.047015545,leisure,couple
,Bizotel Bangkok,4.2,0.098042008,business,friend
,Blackfish Guest House,4.2,0.016162335,leisure,couple
,Blackfish Guest House,4.2,0.018535659,business,family
,Blackfish Guest House,4.2,0.018535659,leisure,family
,Blackfish Guest House,4.2,0.016162335,business,couple
,Bless Residence Bangkok,2.6,0.123934971,leisure,family
,Bless Residence Bangkok,2.6,0.123934971,business,family
,Bliston Suwan Park View,4.2,0.092346031,leisure,couple
,Bliston Suwan Park View,4.2,0.092346031,leisure,family
,Bliston Suwan Park View,4.2,0.188702979,leisure,friend
,Blue Jasmine Hostel,4.2,0.021858313,business,family
,Bourbon St. Boutique Hotel,2.6,0.038708912,business,family
,Boxpackers Hostel,4.2,0.006431708,business,solo
,Boxpackers Hostel,4.2,0.037759582,leisure,friend
,Boxpackers Hostel,4.2,0.037759582,business,friend
,Brunch Makers,4.2,0.007855702,business,solo
,Brunch Makers,4.2,0.048202207,business,friend
,Brunch Makers,4.2,0.007855702,leisure,solo
,Brunch Makers,4.2,0.048202207,leisure,friend
,Bubble Space,4.2,0.052948855,business,friend
,Bubble Space,4.2,0.005482378,business,solo
,Budacco,2.6,0.038708912,leisure,family
,Buddy Mansion,1,0.018298327,business,family
,C40Winks Hostel,4.2,0.005245046,business,solo
,C40Winks Hostel,4.2,0.041794233,business,friend
,C40Winks Hostel,4.2,0.023282307,business,couple
,C40Winks Hostel,4.2,0.041794233,leisure,friend
,CHERN Hostel,3.4,0.041082236,leisure,friend
,CHERN Hostel,3.4,0.041082236,business,friend
,CHERN Hostel,3.4,0.03158894,business,family
,CK2 Hotel,2.6,0.028740952,leisure,family
,CK2 Hotel,2.6,0.028740952,business,family
,COMO Metropolitan Bangkok,4.2,0.109956094,business,couple
,Cabochon Hotel & Residence,4.2,0.304521182,business,friend
,Cabochon Hotel & Residence,4.2,0.150255132,business,solo
,Cabochon Hotel & Residence,4.2,0.304521182,leisure,friend
,Cabochon Hotel & Residence,4.2,0.150255132,leisure,solo
,Cacha Hotel,2.6,0.033962264,business,family
,Cacha Hotel,2.6,0.033962264,leisure,family
,Calypzo Ratchada 20,2.6,0.04345556,business,family
,Canale Hostel,4.2,0.006431708,business,solo
,Cape House Serviced Apartments,4.2,0.219081524,business,friend
,Cape House Serviced Apartments,4.2,0.219081524,leisure,friend
,Cape House Serviced Apartments,4.2,0.107535303,business,solo
,Cape House Serviced Apartments,4.2,0.107535303,leisure,solo
,Casa Nithra,4.2,0.04345556,business,solo
,Casa Nithra,4.2,0.090922036,leisure,friend
,Casa Nithra,4.2,0.090922036,business,family
,Casa Nithra,4.2,0.04345556,business,couple
,Casa Nithra,4.2,0.090922036,business,friend
,Casa Nithra,4.2,0.090922036,leisure,family
,Cazz Hostel,4.2,0.013789012,leisure,couple
,Cazz Hostel,4.2,0.013789012,business,couple
,Cazz Hostel,4.2,0.002515723,leisure,solo
,Centara Watergate Pavillion Hotel Bangkok,3.4,0.066381868,business,couple
,Centara Watergate Pavillion Hotel Bangkok,3.4,0.066381868,leisure,solo
,Centara Watergate Pavillion Hotel Bangkok,3.4,0.096546814,business,family
,Centara Watergate Pavillion Hotel Bangkok,3.4,0.066381868,leisure,couple
,Centre Point Chidlom,4.2,0.065764804,leisure,couple
,Centre Point Chidlom,4.2,0.065764804,business,couple
,Centre Point Chidlom,4.2,0.136015189,leisure,friend
,Centre Point Chidlom,4.2,0.136015189,business,friend
,Centre Point Chidlom,4.2,0.065764804,business,family
,Centre Point Chidlom,4.2,0.065764804,leisure,solo
,Centre Point Chidlom,4.2,0.065764804,business,solo
,Centre Point Pratunam,2.6,0.112281951,business,family
,Centre Point Silom,4.2,0.126996559,business,friend
,Centre Point Silom,4.2,0.066239468,business,solo
,Centre Point Silom,4.2,0.126996559,leisure,friend
,Centre Point Silom,4.2,0.066239468,leisure,couple
,Centre Point Silom,4.2,0.066239468,leisure,solo
,Centre Point Sukhumvit Thong-Lo,2.6,0.073122108,leisure,family
,Centre Point Sukhumvit Thong-Lo,2.6,0.073122108,business,family
,Chakrabongse Villas,5,0.609255963,business,friend
,Chakrabongse Villas,5,0.209303429,business,solo
,"Chaophya Park Hotel, Bangkok",2.6,0.111427554,leisure,family
,Chateau de Sukhumvit,4.2,0.05247419,leisure,friend
,Chateau de Sukhumvit,4.2,0.038708912,business,family
,Chateau de Sukhumvit,4.2,0.05247419,business,friend
,Chateau de Sukhumvit,4.2,0.021407381,business,couple
,Chateau de Sukhumvit,4.2,0.021407381,leisure,couple
,Chatrium Hotel Riverside Bangkok,4.2,0.160460425,leisure,friend
,Chatrium Hotel Riverside Bangkok,4.2,0.078058621,leisure,solo
,Chatrium Hotel Riverside Bangkok,4.2,0.160460425,business,friend
,Chatrium Hotel Riverside Bangkok,4.2,0.078058621,business,couple
,Chatrium Residence Sathon Bangkok,3.4,0.119591788,business,friend
,Chatrium Residence Sathon Bangkok,3.4,0.100011867,business,family
,Chatrium Residence Sathon Bangkok,3.4,0.119591788,leisure,friend
,Check-in My Hostel,4.2,0.013789012,business,couple
,Check-in My Hostel,4.2,0.013789012,leisure,couple
,Check-in My Hostel,4.2,0.004889047,leisure,solo
,Check-in My Hostel,4.2,0.004889047,business,solo
,Chillax Resort,3.4,0.100415332,leisure,friend
,Chillax Resort,3.4,0.100415332,business,family
,Chillax Resort,3.4,0.100415332,business,friend
,Citadines Sukhumvit 16 Bangkok,2.6,0.088145247,leisure,family
,Citrus Sukhumvit 11 by Compass Hospitality,2.6,0.038685179,leisure,family
,Citypoint Hotel,4.2,0.095668684,business,friend
,Citypoint Hotel,4.2,0.045828883,leisure,couple
,Citypoint Hotel,4.2,0.045828883,business,solo
,Citypoint Hotel,4.2,0.045828883,business,couple
,Citypoint Hotel,4.2,0.095668684,leisure,friend
,Cloudy Hostel,4.2,0.024468969,business,friend
,Cloudy Hostel,4.2,0.024468969,leisure,friend
,Cloudy Hostel,4.2,0.010229026,business,couple
,Cloudy Hostel,4.2,0.003109054,business,solo
,Cocktail Hostel & Bar,4.2,0.00073573,business,solo
,Compass SkyView Hotel,4.2,0.225038567,business,friend
,Compass SkyView Hotel,4.2,0.089023377,leisure,solo
,Compass SkyView Hotel,4.2,0.089023377,business,solo
,Conrad Bangkok,3.4,0.127827222,leisure,solo
,Conrad Bangkok,3.4,0.132312804,leisure,couple
,Conrad Bangkok,3.4,0.202705589,leisure,family
,Conrad Bangkok,3.4,0.127827222,business,solo
,Conrad Bangkok,3.4,0.268636525,business,friend
,Conrad Bangkok Residences,2.6,0.244594755,business,family
,Coop Hostel,4.2,0.019484989,leisure,couple
,Counting star Hostel,4.2,0.026367628,business,friend
,Counting star Hostel,4.2,0.003583719,leisure,solo
,Counting star Hostel,4.2,0.026367628,leisure,friend
,Cozy@9Hotel&Kitchen,2.6,0.062157351,leisure,friend
,Cozy@9Hotel&Kitchen,2.6,0.062157351,business,friend
,Crowne Plaza Bangkok Lumpini Park,4.2,0.133262134,business,solo
,Crowne Plaza Bangkok Lumpini Park,4.2,0.270535185,business,friend
,Crowne Plaza Bangkok Lumpini Park,4.2,0.270535185,leisure,friend
,Crowne Plaza Bangkok Lumpini Park,4.2,0.133262134,leisure,solo
,Crowne Plaza Bangkok Lumpini Park,4.2,0.133262134,business,couple
,D&N Hostel,4.2,0.014738341,business,couple
,D&N Hostel,4.2,0.014738341,leisure,couple
,D&N Hostel,4.2,0.028740952,business,family
,Darin Hostel,4.2,0.010229026,business,solo
,Darin Hostel,4.2,0.010229026,leisure,solo
,De Talak Hostel,3.4,0.013077014,leisure,couple
,De Talak Hostel,3.4,0.013077014,business,couple
,De Talak Hostel,3.4,0.003109054,leisure,solo
,De Talak Hostel,3.4,0.020908983,business,family
,Dewan Bangkok,4.2,0.050575531,business,family
,Dewan Bangkok,4.2,0.050575531,business,couple
,Dewan Bangkok,4.2,0.109908627,business,friend
,Dewan Bangkok,4.2,0.050575531,leisure,couple
,Dewan Bangkok,4.2,0.109908627,leisure,friend
,Dhub Hostel Donmueng,4.2,0.005482378,business,solo
,Dhub Hostel Donmueng,4.2,0.014975673,leisure,couple
,Dhub Hostel Donmueng,4.2,0.005482378,leisure,solo
,Dinsomon,4.2,0.028028955,leisure,couple
,Dinsomon,4.2,0.028028955,business,couple
,Don Muang Boutique House,2.6,0.005482378,leisure,couple
,Don Muang Boutique House,2.6,0.005482378,business,couple
,Double DD House,2.6,0.033962264,leisure,family
,DoubleTree by Hilton Sukhumvit Bangkok,3.4,0.063035481,business,solo
,DoubleTree by Hilton Sukhumvit Bangkok,3.4,0.063035481,leisure,solo
,Dream Hotel Bangkok,2.6,0.090922036,leisure,family
,Eastin Grand Hotel Sathorn,4.2,0.092061232,business,solo
,Eight Ville,2.6,0.055322179,business,friend
,Emporium Suites by Chatrium,2.6,0.115462205,leisure,couple
,Emporium Suites by Chatrium,2.6,0.350492465,business,friend
,Emporium Suites by Chatrium,2.6,0.156212175,business,family
,Emporium Suites by Chatrium,2.6,0.350492465,leisure,friend
,Escape at Sathorn Terrace,3.4,0.030402278,leisure,family
,Evergreen Laurel Hotel Sathorn Bangkok,4.2,0.126521894,leisure,friend
,Evergreen Laurel Hotel Sathorn Bangkok,4.2,0.126521894,business,friend
,Evergreen Laurel Hotel Sathorn Bangkok,4.2,0.061255488,leisure,couple
,Feung Nakorn Balcony Rooms and Cafe,4.2,0.038234247,leisure,family
,Feung Nakorn Balcony Rooms and Cafe,4.2,0.038234247,business,family
,First Inn On Nut,4.2,0.004295716,business,solo
,"Four Points by Sheraton Bangkok, Sukhumvit 15",4.2,0.165824137,leisure,friend
,"Four Points by Sheraton Bangkok, Sukhumvit 15",4.2,0.165824137,business,friend
,"Four Points by Sheraton Bangkok, Sukhumvit 15",4.2,0.078675685,leisure,solo
,Fraser Suites Sukhumvit - Bangkok,2.6,0.165159606,business,friend
,Fyn Hotel,3.4,0.03158894,leisure,family
,GLOW Pratunam,4.2,0.131268542,leisure,friend
,GLOW Pratunam,4.2,0.063628812,leisure,solo
,GLOW Pratunam,4.2,0.063628812,business,solo
,GLOW Pratunam,4.2,0.086175389,business,family
,Gaam Hotel,4.2,0.073834105,business,friend
,Gaam Hotel,4.2,0.034911594,leisure,couple
,Glur Bharani Hostel,4.2,0.02162098,leisure,friend
,Glur Bharani Hostel,4.2,0.02162098,business,friend
,Golden Mountain Hostel,2.6,0.005482378,leisure,solo
,Golden Tulip Sovereign Hotel Bangkok,1,0.136964519,leisure,family
,Good Day Hostel,4.2,0.00666904,leisure,solo
,Good One Hostel & Cafe Bar,4.2,0.004295716,business,solo
,Good One Hostel & Cafe Bar,4.2,0.035148926,leisure,friend
,Good One Hostel & Cafe Bar,4.2,0.004295716,leisure,solo
,Good One Hostel & Cafe Bar,4.2,0.035148926,business,friend
,Grand Hyatt Erawan Bangkok,4.2,0.201305328,business,solo
,Grand Hyatt Erawan Bangkok,4.2,0.201305328,leisure,solo
,Grand Mercure Bangkok Asoke Residence,3.4,0.068066928,business,couple
,Grand Mercure Bangkok Asoke Residence,3.4,0.111641153,business,family
,Grand Mercure Bangkok Asoke Residence,3.4,0.173086508,leisure,friend
,Grand Swiss Sukhumvit 11 by Compass Hospitality,2.6,0.071911712,leisure,family
,Grand Tower Inn Sathorn Hotel,2.6,0.06244215,business,friend
,Grand Tower Inn Sathorn Hotel,2.6,0.06244215,leisure,friend
,Grande Centre Point Hotel Terminal21,4.2,0.304521182,leisure,friend
,Grande Centre Point Hotel Terminal21,4.2,0.304521182,business,friend
,Grande Centre Point Hotel Terminal21,4.2,0.125382698,business,solo
,Grande Centre Point Sukhumvit 55 Thong Lo,4.2,0.094743088,leisure,couple
,Grande Centre Point Sukhumvit 55 Thong Lo,4.2,0.094743088,business,couple
,Grande Centre Point Sukhumvit 55 Thong Lo,4.2,0.212056485,leisure,friend
,Greyscale Short & Long Stay,2.6,0.011415688,leisure,couple
,Greyscale Short & Long Stay,2.6,0.011415688,business,couple
,Gulliver's Tavern Hotel,2.6,0.136015189,leisure,family
,Gulliver's Tavern Hotel,2.6,0.136015189,business,family
,Hansar Bangkok,4.2,0.314441676,leisure,family
,Hansar Bangkok,4.2,0.155215379,business,solo
,Hansar Bangkok,4.2,0.155215379,leisure,solo
,Happy 3,4.2,0.071935446,business,family
,Happy 3,4.2,0.105161979,leisure,friend
,Happy 3,4.2,0.071935446,leisure,family
,Happy Monkey Hostel Bangkok,4.2,0.00666904,leisure,solo
,Happy Monkey Hostel Bangkok,4.2,0.00666904,business,solo
,Heaven@4,2.6,0.03158894,business,family
,Here Hostel Bangkok,4.2,0.00761837,business,solo
,Here Hostel Bangkok,4.2,0.042743562,business,friend
,Here Hostel Bangkok,4.2,0.00761837,leisure,solo
,Here Hostel Bangkok,4.2,0.042743562,leisure,friend
,Here Hostel Bangkok,4.2,0.019484989,business,couple
,Here Hostel Bangkok,4.2,0.019484989,leisure,couple
,Hide Bangkok Hostel,4.2,0.026248962,business,friend
,Hide Bangkok Hostel,4.2,0.020908983,business,family
,Hide Bangkok Hostel,4.2,0.026248962,leisure,friend
,Hide Bangkok Hostel,4.2,0.002230924,leisure,solo
,Hide Bangkok Hostel,4.2,0.020908983,leisure,family
,Hide Bangkok Hostel,4.2,0.002230924,business,solo
,Hide Bangkok Hostel,4.2,0.013789012,leisure,couple
,Hide Bangkok Hostel,4.2,0.013789012,business,couple
,Hilton Sukhumvit Bangkok,2.6,0.090969503,business,solo
,Hilton Sukhumvit Bangkok,2.6,0.090969503,leisure,solo
,Holiday Inn Bangkok Silom,2.6,0.159677228,business,family
,Holiday Inn Express Bangkok Sathorn,4.2,0.098065741,leisure,friend
,Holiday Inn Express Bangkok Sathorn,4.2,0.047015545,leisure,solo
,Holiday Inn Express Bangkok Sathorn,4.2,0.047015545,business,couple
,Holiday Inn Express Bangkok Sathorn,4.2,0.098065741,business,friend
,Holiday Inn Express Bangkok Sathorn,4.2,0.047015545,leisure,couple
,Home Base Hostel,4.2,0.010229026,business,couple
,Home Base Hostel,4.2,0.014026344,business,friend
,Home Base Hostel,4.2,0.000498398,business,solo
,Home Base Hostel,4.2,0.010229026,leisure,couple
,Homie Hostel & Cafe,4.2,0.005482378,leisure,solo
,Homie Hostel & Cafe,4.2,0.024468969,business,couple
,Homie Hostel & Cafe,4.2,0.005482378,business,solo
,Honey House 2,1,0.019722321,business,family
,Honey Place Guesthouse,4.2,0.010229026,leisure,couple
,Honey Place Guesthouse,4.2,0.010229026,business,couple
,Honey Place Guesthouse,4.2,0.004295716,leisure,solo
,Hoppers Place Donmuang Hostel,4.2,0.012365017,leisure,couple
,Hostel At Thonglor,4.2,0.005007713,business,solo
,Hostel At Thonglor,4.2,0.005007713,leisure,solo
,Hostel Thonglo7,4.2,0.038708912,business,family
,Hostel Thonglo7,4.2,0.050575531,business,friend
,Hotel Icon Bangkok,3.4,0.052379257,leisure,couple
,Hotel Icon Bangkok,3.4,0.106680907,business,friend
,Hotel Icon Bangkok,3.4,0.106680907,leisure,family
,Hotel Icon Bangkok,3.4,0.106680907,business,family
,Hotel Icon Bangkok,3.4,0.052379257,business,couple
,Hotel Indigo Bangkok Wireless Road,4.2,0.112187018,business,solo
,Hotel Muse Bangkok Langsuan - MGallery Collection,4.2,0.117930462,business,solo
,Hotel Muse Bangkok Langsuan - MGallery Collection,4.2,0.117930462,leisure,solo
,"Hotel Solo, Sukhumvit 2, Bangkok",2.6,0.095668684,business,family
,I Rich Residence,4.2,0.038685179,leisure,family
,I Rich Residence,4.2,0.038685179,business,family
,I Rich Residence,4.2,0.017348997,leisure,couple
,I Rich Residence,4.2,0.017348997,business,couple
,I-Sleep Silom Hostel,2.6,0.033724932,leisure,friend
,I-Sleep Silom Hostel,2.6,0.033724932,business,friend
,Ibis Styles Bangkok Sukhumvit 50,3.4,0.028669752,leisure,couple
,Ibis Styles Bangkok Sukhumvit 50,3.4,0.032300937,leisure,family
,Ibrik Resort by the river,4.2,0.071935446,business,solo
,Ibrik Resort by the river,4.2,0.071935446,leisure,solo
,In a Box Hostel,4.2,0.03158894,leisure,friend
,Inn Stations Hostel,4.2,0.002088525,business,solo
,InterContinental Bangkok,4.2,0.151299395,business,solo
,InterContinental Bangkok,4.2,0.306609707,leisure,friend
,J No.14,2.6,0.038708912,business,solo
,JC House,4.2,0.002634389,leisure,solo
,JC House,4.2,0.02257031,leisure,friend
,JW Marriott Hotel Bangkok,4.2,0.335398125,leisure,friend
,JW Marriott Hotel Bangkok,4.2,0.146837546,business,solo
,JW Marriott Hotel Bangkok,4.2,0.233440133,leisure,family
,JW Marriott Hotel Bangkok,4.2,0.146837546,leisure,solo
,JW Marriott Hotel Bangkok,4.2,0.146837546,business,couple
