user_id,hotel_name,rating,price,trip_type,companion,star,district,destination
,Somerset Sukhumvit Thonglor,4.2,0.25928563,business,friend,4,Wattana, Bangkok
,Somerset Sukhumvit Thonglor,4.2,0.085938056,leisure,couple,4,Wattana, Bangkok
,Studio 62,4.2,0.017348997,business,solo,No preference,Bangkok,0
,Sukhumvit 12 Bangkok Hotel & Suites,4.2,0.05577311,business,couple,4,Khlong Toei, Bangkok
,Sukhumvit 12 Bangkok Hotel & Suites,4.2,0.05577311,leisure,couple,4,Khlong Toei, Bangkok
,Summit Pavilion Hotel,1,0.067188798,business,friend,4,Bangkok,0
,Summit Pavilion Hotel,1,0.067188798,leisure,friend,4,Bangkok,0
,Suneta Hostel Khaosan,4.2,0.013836478,leisure,couple,2,Bangkok,0
,Suneta Hostel Khaosan,4.2,0.00491278,leisure,solo,2,Bangkok,0
,Suneta Hostel Khaosan,4.2,0.013836478,business,couple,2,Bangkok,0
,Swissotel Le Concorde Bangkok,4.2,0.071959179,leisure,couple,5,Huai Khwang, Bangkok
,Swissotel Le Concorde Bangkok,4.2,0.147953008,business,friend,5,Huai Khwang, Bangkok
,Swissotel Le Concorde Bangkok,4.2,0.147953008,leisure,family,5,Huai Khwang, Bangkok
,Swissotel Le Concorde Bangkok,4.2,0.147953008,leisure,friend,5,Huai Khwang, Bangkok
,T Hostel @ Rama4,4.2,0.013812745,business,couple,No preference,Khlong Toei, Bangkok
,T Hostel @ Rama4,4.2,0.013812745,leisure,couple,No preference,Khlong Toei, Bangkok
,T Hostel @ Rama4,4.2,0.027340691,business,friend,No preference,Khlong Toei, Bangkok
,T Hostel @ Rama4,4.2,0.027340691,leisure,friend,No preference,Khlong Toei, Bangkok
,THA City Loft Hotel,3.4,0.052948855,business,friend,3,Wattana, Bangkok
,THA City Loft Hotel,3.4,0.052948855,leisure,friend,3,Wattana, Bangkok
,THE NARA-RAM 3 SUITE Boutique Service Apartment,2.6,0.023044974,leisure,couple,2,Bangkok,0
,THE NARA-RAM 3 SUITE Boutique Service Apartment,2.6,0.023044974,business,couple,2,Bangkok,0
,Tanatawey Places,4.2,0.047727542,leisure,family,2,Bangkok,0
,Tanatawey Places,4.2,0.047727542,business,family,2,Bangkok,0
,Tanatawey Places,4.2,0.021858313,business,solo,2,Bangkok,0
,Tanatip Place,2.6,0.01260235,business,solo,No preference,Din Daeng, Bangkok
,Tanatip Place,2.6,0.01260235,leisure,solo,No preference,Din Daeng, Bangkok
,Tara Place,4.2,0.067188798,business,friend,3,Bangkok,0
,Tara Place,4.2,0.03158894,leisure,solo,3,Bangkok,0
,Tara Place,4.2,0.067188798,leisure,friend,3,Bangkok,0
,Ten Ekamai Suites by Aspira,2.6,0.064530675,business,family,No preference,Wattana, Bangkok
,Ten Ekamai Suites by Aspira,2.6,0.064530675,leisure,friend,No preference,Wattana, Bangkok
,Ten Ekamai Suites by Aspira,2.6,0.064530675,business,friend,No preference,Wattana, Bangkok
,Tenface Bangkok,4.2,0.049388869,leisure,couple,4,Pathumwan, Bangkok
,Thai Cat Hostel,4.2,0.071935446,leisure,couple,3,Pathumwan, Bangkok
,Thai Cat Hostel,4.2,0.071935446,business,couple,3,Pathumwan, Bangkok
,Thamrongin Hotel,1,0.064815474,business,friend,3,Bangkok,0
,Thamrongin Hotel,1,0.064815474,leisure,friend,3,Bangkok,0
,Thanaree place,1,0.048202207,business,family,3,Chatuchak, Bangkok
,The Backpack Hostel,4.2,0.03158894,business,couple,No preference,Bang Rak, Bangkok
,The Backpack Hostel,4.2,0.03158894,leisure,couple,No preference,Bang Rak, Bangkok
,The Blocks Hostel,4.2,0.003821051,business,solo,1,Khlong Toei, Bangkok
,The Blocks Hostel,4.2,0.003821051,leisure,solo,1,Khlong Toei, Bangkok
,The Capital Mansion,2.6,0.090922036,leisure,friend,3,Phaya Thai, Bangkok
